,STREET_NAME,TOSTREET,FROMSTREET
436,FERRIS ST,1,1
437,FERRIS STREET,1,8
438,FERRY TERMINAL,1,1
439,FERRY TERMINAL DR,18,1
440,FLATBUSH AV,21,14
441,FLATBUSH AV EX,5,32
442,FLATBUSH AV GREENWAY,3,1
443,FLATLANDS AV,3,8
444,FLUSHING AV,28,16
445,FLUSHING AVE,27,1
446,FLUSHING BAY PROMENADE,4,2
447,FOREST AV,11,3
448,FOREST HILL RD,6,1
449,FOREST PARK DR,4,1
450,FORSYTH ST,12,1
451,FORT TRYON PL,11,57
452,FORT WASHINGTON PARK,4,11
453,FOSTER AV,6,18
454,FRAKLIN AV,1,45
455,FRANKLIN AV,9,27
456,FRANKLIN ST,7,12
457,FR CAPODANNO BLVD,62,1
458,FRED DOUGLASS BLVD,3,1
459,FRED DOUGLASS CIR,1,20
460,FREEMAN ST,3,13
461,FRESH POND RD,4,20
462,FRONT ST,9,4
463,FT GREENE PL,2,6
464,FT HAMILTON PKWY,16,12
465,FT WASHINGTON AVE,13,5
466,FT WASHINGTON PARK BICYCLE TRAIL,2,21
467,FULTON ST,65,13
468,FURMAN ST,6,1
469,GANSEVOORT ST,23,10
470,GARRISON AV,11,1
471,GATES AV,8,4
472,GERRITSEN CREEK,32,1
473,GOUVERNEUR ST,6,2
474,GOVERNORS ISLAND GREENWAY,15,1
475,GOWANUS CANAL SHORELINE,2,14
476,GRAFTON ST,11,2
477,GRAND ARMY PLZ GREENWAY,21,1
478,GRAND AV,2,33
479,GRAND CONCOURSE,7,17
480,GRAND ST,7,21
481,GRANT AV,21,2
482,GREENE AV,2,5
483,GREENPOINT AV,9,13
484,GREENWICH AV,1,4
485,GREENWICH ST,20,1
486,GRENFELL ST,1,3
487,GRESHAM RD,2,2
488,GRND CNTRL PKWY,16,15
489,GRND CNTRL PKWY EXIT EB,1,1
490,GRND CNTRL PKWY SR S,12,5
491,GUERNSEY ST,4,6
492,HALLECK ST,15,1
493,HALLETS COVE ESPLANADE,10,4
494,HAMILTON AV,49,38
495,HAMILTON AVE,2,5
496,HANSON PL,3,2
497,HARLEM RIVER DR GREENWAY,1,41
498,HARLEM RIVER DRIVE GREENWAY,1,9
499,HARLEM RIVER GREENWAY,1,12
500,HARLEM RIVER PATHWAY,12,8
501,HARPER ST,2,3
502,HARRISON AV,3,64
503,HART ST,1,6
504,HASPEL ST,1,5
505,HAVEMEYER AV,18,10
506,HAVEN AVE,1,1
507,HAY RD,7,27
508,HEATH AV,1,3
509,HEGEMAN AVE,9,1
510,HENRY HUDSON PKWY,2,13
511,HENRY HUDSON PKWY SB EXIT 17,5,16
512,HENRY ST,17,1
513,HESTER ST,9,2
514,HICKS ST,7,3
515,HIGH BR,1,15
516,HIGHLAND BLVD,3,40
517,HIGHLAND PARK GREENWAY,3,3
518,HOE AV,3,1
519,HOLLIS HILLS TER,21,44
520,HOOPER ST,7,9
521,HOOVER AV,2,2
522,HOPKINSON AV,17,16
523,HORATIO PKWY,2,1
524,HORATIO ST,2,2
525,HOR HARDING EXWY SR N,58,30
526,HOR HARDING EXWY SR S,20,2
527,HOUSTON ST,5,1
528,HOYT AV S,19,33
529,HUDSON AV,41,16
530,HUDSON RIVER GREENWAY,32,2
531,HUDSON ST,5,29
532,HUNTER ST,1,3
533,HUTCHINSON RIVER PKWY,1,10
534,HUTCH RIVER PKWY SR,1,5
535,HYLAN BLVD,52,13
536,IMLAY ST,2,31
537,INDIAN RD,4,1
538,INWOOD HILL PARK,11,1
539,IRWIN AV,3,1
540,ISHAM ST,8,48
541,JACKIE ROBINSON PKWY EB EXIT 3,4,14
542,JACKSON AV,29,1
543,JACKSON AVE,5,1
544,JACKSON ST,3,5
545,JACOB RIIS BOARDWALK,2,4
546,JACQUES AV,4,55
547,JAMAICA AV,6,1
548,JAY ST,6,1
549,JAY ST GREENWAY,12,13
550,JAY STREET,1,3
551,JEFFERSON AV,44,1
552,JEROME AV,4,28
553,JEROME AVE,5,4
554,JOE DIMAGGIO HWY,2,2
555,JOHNSON AV,2,28
556,JOHN ST,39,2
557,JOSEPH P WARD ST,1,51
558,J ROBINSON PKWY SR,22,18
559,JUMEL TER,1,3
560,KANE ST,7,5
561,KENT AV,5,23
562,KEW GDNS RD,7,3
563,KIMMEL RD,9,2
564,KINGSBRIDGE TER,1,7
565,KINGSLAND AV,10,2
566,KINGS-QN CNTY BNDY,35,6
567,KISSENA PARK VELODROME,1,11
568,KNAPP ST,70,10
569,KOSSUTH AV,2,2
570,LACOMBE AV,2,3
571,LACONIA AV,1,1
572,LAFAYETTE AV,2,45
573,LAFAYETTE AVE,2,5
574,LAUREL HILL BLVD,2,4
575,LAUREL HILL BLVD PED OVPS,11,1
576,LAURELTON PKWY,2,9
577,LAURELTON PKWY SR S,5,2
578,LEFFERTS PL,1,7
579,LEGION ST,3,15
580,LELAND AV,4,1
581,LENOX AV,6,3
582,LEONARD ST,31,16
583,LEXINGTON AV,39,18
584,LIBERTY AV,16,34
585,LIBERTY ST,1,17
586,LIC GREENWAY,2,53
587,LILLIAN WALD DR,1,1
588,LILY POND AV,8,1
589,LINCOLN AV,1,5
590,LINCOLN TUN EXIT,1,1
591,LINDEN BLVD,44,2
592,LIVINGSTON ST,1,2
593,LOCUST AV,21,1
594,LONGFELLOW AV,8,1
595,LYDIG AV,5,5
596,MAC DOUGAL ST,13,1
597,MACKENZIE ST,9,7
598,MADISON AV,11,20
599,MADISON ST,9,4
600,MAIN AV,4,6
601,MAIN ST,14,21
602,MALCOLM X BLVD,1,13
603,MANGIN ST,1,63
604,MANHATTAN AV,5,6
605,MANHATTAN COLLEGE PKWY,2,38
606,MAPLE ST,2,13
607,MARBLE HILL AV,3,9
608,MARCY AV,5,3
609,MARGARET CORBIN DR,2,2
610,MARGARET CORBIN PLZ,9,4
611,MARINE AV,2,7
612,MARINE PARK GREENWAY,1,1
613,MARINE PKWY BR,9,3
614,MARION AV,1,12
615,MC DONALD AV,4,1
616,MC GUINESS BLVD,4,5
617,MC GUINNESS BLVD,11,1
618,MEADOW LAKE PATH W,19,2
619,MEADOW LAKE PR,15,18
620,MEADOW LAKE RD E,1,26
621,MEADOW LAKE RD W,6,1
622,MELROSE AV,1,1
623,MERRIAM AV,1,1
624,MERRICK BLVD,25,6
625,METCALF AV,32,17
626,METROPOLITAN AV,15,26
627,MIDBLOCK,1,33
628,midblock bet 113 ST and 114 ST,1,11
629,midblock bet 9 AND 8 AV,3,5
630,MIDDLETOWN RD,1,30
631,MIDLAND AV,2,3
632,MILLER AV,2,1
633,MOFFAT ST,31,7
634,MONUMENT WALK,1,71
635,MOORE ST,30,9
636,MORRIS AV,10,69
637,MORRISON AV,1,6
638,MORRIS ST,1,5
639,MOSHOLU PKWY,2,4
640,MOSHOLU PKWY GREENWAY,5,31
641,MOSHULU PKWY GREENWAY,3,1
642,MOTHER GASTON BLVD,21,29
643,MOUNT MORRIS PARK W,7,4
644,MURRAY RD,4,4
645,MYRTLE AV,77,1
646,MYRTLE AVE,1,20
647,N 14 ST,34,1
648,NAPLES TER,1,8
649,NASSAU AV,2,9
650,NASSAU ST,3,7
651,NAVY ST,1,7
652,NEPTUNE AV,2,1
653,NEVINS ST,3,1
654,NEVINS STREET,1,34
655,NEWBURG ST,37,1
656,NEW DORP LA,6,32
657,NEW DORP PLZ,2,4
658,NEW LOTS AV,8,2
659,NEWPORT ST,7,13
660,NEWTOWN CREEK SHL,1,54
661,NEW YORK AV,12,69
662,NORFOLK ST,13,1
663,North Basin RD,1,1
664,NORTH END AV,1,4
665,NORTHERN BLVD,3,4
666,NORTHERN BOULEVARD,7,27
667,NOTHERN BLVD,1,36
668,N RAILROAD AV,7,9
669,NW side of median,1,1
670,NY-NJ BNDY,5,17
671,OAK AV,8,21
672,O'BRIEN AVE,4,42
673,OCEAN AV,25,5
674,OCEAN PKWY,38,11
675,OCEAN PR,1,18
676,OLD FULTON ST,17,1
677,OLD MILL RD,1,10
678,OLD SLIP,2,2
679,OLMSTEAD AV,4,5
680,ONDERDONK AVE,2,28
681,ONSLOW PL,1,5
682,ORCHARD BEACH,2,9
683,ORLOFF AV,1,3
684,OSTEGO ST,2,3
685,OVERLOOK TER,1,4
686,OXFORD ST,38,23
687,PACIFIC ST,25,1
688,PAERDEGAT AVE N,1,1
689,PAIDGE AV,2,5
690,PALADINO AV,12,6
691,PALMER AV,3,2
692,PARK AV,14,2
693,PARK CIR,6,14
694,PARK DR,9,6
695,PARK DR E,7,14
696,PARK LA,3,4
697,PARK TER W,1,2
698,PARKWAY N,11,4
699,PARSONS BLVD,4,21
